"Plot Title: 10720196"
"#","Date Time, GMT+02:00","Low Range, μS/cm (LGR S/N: 10720196, SEN S/N: 10720196)","Temp, °C (LGR S/N: 10720196, SEN S/N: 10720196)"
130,07/22/16 07:06:28 em,2.3,29.18
131,07/22/16 07:06:29 em,2.3,29.18
132,07/22/16 07:06:30 em,2.3,29.18
133,07/22/16 07:06:31 em,1.9,29.18
134,07/22/16 07:06:32 em,2.3,29.18
135,07/22/16 07:06:33 em,2.3,29.18
136,07/22/16 07:06:34 em,2.3,29.18
137,07/22/16 07:06:35 em,2.5,29.18
138,07/22/16 07:06:36 em,2.3,29.18
139,07/22/16 07:06:37 em,2.3,29.18
140,07/22/16 07:06:38 em,2.5,29.18
141,07/22/16 07:06:39 em,2.3,29.18
142,07/22/16 07:06:40 em,2.5,29.18
143,07/22/16 07:06:41 em,2.3,29.18
144,07/22/16 07:06:42 em,2.3,29.18
145,07/22/16 07:06:43 em,2.3,29.18
146,07/22/16 07:06:44 em,2.3,29.17
147,07/22/16 07:06:45 em,1.9,29.17
148,07/22/16 07:06:46 em,2.3,29.17
149,07/22/16 07:06:47 em,2.3,29.17
150,07/22/16 07:06:48 em,2.3,29.17
151,07/22/16 07:06:49 em,2.5,29.17
152,07/22/16 07:06:50 em,2.3,29.17
153,07/22/16 07:06:51 em,2.3,29.17
154,07/22/16 07:06:52 em,2.3,29.17
155,07/22/16 07:06:53 em,2.3,29.17
156,07/22/16 07:06:54 em,1.9,29.17
157,07/22/16 07:06:55 em,2.3,29.17
158,07/22/16 07:06:56 em,2.3,29.17
159,07/22/16 07:06:57 em,2.0,29.16
160,07/22/16 07:06:58 em,2.3,29.16
161,07/22/16 07:06:59 em,2.3,29.16
162,07/22/16 07:07:00 em,2.3,29.16
163,07/22/16 07:07:01 em,1.8,29.16
164,07/22/16 07:07:02 em,2.3,29.16
165,07/22/16 07:07:03 em,2.3,29.16
166,07/22/16 07:07:04 em,2.5,29.16
167,07/22/16 07:07:05 em,2.3,29.16
168,07/22/16 07:07:06 em,2.3,29.16
169,07/22/16 07:07:07 em,3.6,29.16
170,07/22/16 07:07:08 em,2.3,29.14
171,07/22/16 07:07:09 em,2.3,29.16
172,07/22/16 07:07:10 em,2.3,29.16
173,07/22/16 07:07:11 em,2.3,29.14
174,07/22/16 07:07:12 em,3.6,29.16
175,07/22/16 07:07:13 em,2.5,29.14
176,07/22/16 07:07:14 em,1.9,29.14
177,07/22/16 07:07:15 em,2.3,29.14
178,07/22/16 07:07:16 em,2.3,29.14
179,07/22/16 07:07:17 em,2.3,29.14
180,07/22/16 07:07:18 em,2.3,29.14
181,07/22/16 07:07:19 em,2.5,29.14
182,07/22/16 07:07:20 em,2.3,29.14
183,07/22/16 07:07:21 em,2.3,29.14
184,07/22/16 07:07:22 em,2.3,29.14
185,07/22/16 07:07:23 em,2.3,29.13
186,07/22/16 07:07:24 em,2.3,29.13
187,07/22/16 07:07:25 em,2.3,29.13
188,07/22/16 07:07:26 em,2.3,29.13
189,07/22/16 07:07:27 em,1.9,29.13
190,07/22/16 07:07:28 em,2.3,29.13
191,07/22/16 07:07:29 em,2.5,29.13
192,07/22/16 07:07:30 em,1.9,29.13
193,07/22/16 07:07:31 em,2.3,29.13
194,07/22/16 07:07:32 em,2.3,29.12
195,07/22/16 07:07:33 em,2.3,29.12
196,07/22/16 07:07:34 em,2.3,29.12
197,07/22/16 07:07:35 em,2.3,29.12
198,07/22/16 07:07:36 em,2.3,29.12
199,07/22/16 07:07:37 em,2.3,29.11
200,07/22/16 07:07:38 em,2.3,29.11
201,07/22/16 07:07:39 em,2.3,29.11
202,07/22/16 07:07:40 em,2.3,29.11
203,07/22/16 07:07:41 em,2.3,29.11
204,07/22/16 07:07:42 em,2.3,29.11
205,07/22/16 07:07:43 em,1.9,29.11
206,07/22/16 07:07:44 em,2.3,29.11
207,07/22/16 07:07:45 em,1.9,29.11
208,07/22/16 07:07:46 em,2.3,29.11
209,07/22/16 07:07:47 em,2.3,29.11
210,07/22/16 07:07:48 em,2.3,29.09
211,07/22/16 07:07:49 em,2.3,29.09
212,07/22/16 07:07:50 em,2.3,29.09
213,07/22/16 07:07:51 em,2.3,29.09
214,07/22/16 07:07:52 em,2.3,29.09
215,07/22/16 07:07:53 em,2.3,29.09
216,07/22/16 07:07:54 em,2.3,29.09
217,07/22/16 07:07:55 em,2.3,29.09
218,07/22/16 07:07:56 em,2.3,29.09
219,07/22/16 07:07:57 em,2.3,29.09
220,07/22/16 07:07:58 em,2.3,29.09
221,07/22/16 07:07:59 em,2.3,29.09
222,07/22/16 07:08:00 em,2.3,29.08
223,07/22/16 07:08:01 em,2.3,29.08
224,07/22/16 07:08:02 em,2.3,29.08
225,07/22/16 07:08:03 em,2.3,29.08
226,07/22/16 07:08:04 em,2.3,29.08
227,07/22/16 07:08:05 em,2.3,29.08
228,07/22/16 07:08:06 em,2.5,29.07
229,07/22/16 07:08:07 em,2.3,29.08
230,07/22/16 07:08:08 em,2.3,29.08
231,07/22/16 07:08:09 em,2.3,29.07
232,07/22/16 07:08:10 em,1.9,29.07
233,07/22/16 07:08:11 em,2.3,29.07
234,07/22/16 07:08:12 em,2.3,29.07
235,07/22/16 07:08:13 em,2.3,29.07
236,07/22/16 07:08:14 em,2.5,29.07
237,07/22/16 07:08:15 em,2.3,29.07
238,07/22/16 07:08:16 em,2.3,29.07
239,07/22/16 07:08:17 em,2.3,29.05
240,07/22/16 07:08:18 em,2.3,29.05
241,07/22/16 07:08:19 em,2.3,29.05
242,07/22/16 07:08:20 em,2.3,29.05
243,07/22/16 07:08:21 em,2.3,29.05
244,07/22/16 07:08:22 em,2.3,29.05
245,07/22/16 07:08:23 em,2.3,29.05
246,07/22/16 07:08:24 em,2.3,29.05
247,07/22/16 07:08:25 em,2.3,29.04
248,07/22/16 07:08:26 em,2.3,29.04
249,07/22/16 07:08:27 em,1.9,29.04
250,07/22/16 07:08:28 em,2.3,29.04
251,07/22/16 07:08:29 em,2.3,29.04
252,07/22/16 07:08:30 em,2.3,29.04
253,07/22/16 07:08:31 em,2.5,29.04
254,07/22/16 07:08:32 em,2.3,27.95
255,07/22/16 07:08:33 em,25.1,20.47
256,07/22/16 07:08:34 em,39.8,20.34
257,07/22/16 07:08:35 em,40.5,20.32
258,07/22/16 07:08:36 em,40.8,20.19
259,07/22/16 07:08:37 em,40.4,19.59
260,07/22/16 07:08:38 em,6.0,19.14
261,07/22/16 07:08:39 em,6.0,20.33
262,07/22/16 07:08:40 em,34.0,17.09
263,07/22/16 07:08:41 em,33.3,16.75
264,07/22/16 07:08:42 em,33.5,16.80
265,07/22/16 07:08:43 em,33.8,17.03
266,07/22/16 07:08:44 em,34.0,17.15
267,07/22/16 07:08:45 em,4.8,17.34
268,07/22/16 07:08:46 em,5.0,18.17
269,07/22/16 07:08:47 em,5.2,18.74
270,07/22/16 07:08:48 em,5.2,19.18
271,07/22/16 07:08:49 em,5.2,19.53
272,07/22/16 07:08:50 em,5.2,19.84
273,07/22/16 07:08:51 em,5.4,20.10
274,07/22/16 07:08:52 em,5.3,20.33
275,07/22/16 07:08:53 em,5.3,20.56
276,07/22/16 07:08:54 em,5.4,20.76
277,07/22/16 07:08:55 em,5.4,20.95
278,07/22/16 07:08:56 em,5.4,21.14
279,07/22/16 07:08:57 em,5.4,21.31
280,07/22/16 07:08:58 em,5.4,21.49
281,07/22/16 07:08:59 em,5.4,21.65
282,07/22/16 07:09:00 em,5.5,21.80
283,07/22/16 07:09:01 em,5.5,21.94
284,07/22/16 07:09:02 em,5.5,22.09
285,07/22/16 07:09:03 em,5.5,22.22
