"Plot Title: 10720196"
"#","Date Time, GMT+02:00","Low Range, μS/cm (LGR S/N: 10720196, SEN S/N: 10720196)","Temp, °C (LGR S/N: 10720196, SEN S/N: 10720196)"
3136,07/22/16 07:56:34 em,12.9,11.48
3137,07/22/16 07:56:35 em,12.9,11.49
3138,07/22/16 07:56:36 em,12.9,11.49
3139,07/22/16 07:56:37 em,12.9,11.49
3140,07/22/16 07:56:38 em,12.9,11.49
3141,07/22/16 07:56:39 em,12.9,11.49
3142,07/22/16 07:56:40 em,12.9,11.49
3143,07/22/16 07:56:41 em,12.9,11.49
3144,07/22/16 07:56:42 em,12.9,11.49
3145,07/22/16 07:56:43 em,12.9,11.50
3146,07/22/16 07:56:44 em,12.9,11.49
3147,07/22/16 07:56:45 em,12.9,11.50
3148,07/22/16 07:56:46 em,12.9,11.50
3149,07/22/16 07:56:47 em,12.9,11.49
3150,07/22/16 07:56:48 em,12.9,11.50
3151,07/22/16 07:56:49 em,12.9,11.50
3152,07/22/16 07:56:50 em,12.9,11.50
3153,07/22/16 07:56:51 em,12.9,11.50
3154,07/22/16 07:56:52 em,12.9,11.50
3155,07/22/16 07:56:53 em,12.9,11.50
3156,07/22/16 07:56:54 em,12.9,11.50
3157,07/22/16 07:56:55 em,12.9,11.51
3158,07/22/16 07:56:56 em,12.9,11.51
3159,07/22/16 07:56:57 em,12.9,11.51
3160,07/22/16 07:56:58 em,12.9,11.51
3161,07/22/16 07:56:59 em,12.9,11.51
3162,07/22/16 07:57:00 em,12.9,11.51
3163,07/22/16 07:57:01 em,12.9,11.51
3164,07/22/16 07:57:02 em,12.9,11.51
3165,07/22/16 07:57:03 em,12.9,11.53
3166,07/22/16 07:57:04 em,12.9,11.53
3167,07/22/16 07:57:05 em,12.9,11.53
3168,07/22/16 07:57:06 em,12.9,11.53
3169,07/22/16 07:57:07 em,12.9,11.53
3170,07/22/16 07:57:08 em,12.9,11.53
3171,07/22/16 07:57:09 em,12.9,11.53
3172,07/22/16 07:57:10 em,13.0,11.53
3173,07/22/16 07:57:11 em,12.9,11.54
3174,07/22/16 07:57:12 em,12.9,11.53
3175,07/22/16 07:57:13 em,12.9,11.53
3176,07/22/16 07:57:14 em,12.9,11.54
3177,07/22/16 07:57:15 em,12.9,11.54
3178,07/22/16 07:57:16 em,12.9,11.53
3179,07/22/16 07:57:17 em,12.9,11.54
3180,07/22/16 07:57:18 em,12.9,11.54
3181,07/22/16 07:57:19 em,12.9,11.55
3182,07/22/16 07:57:20 em,12.9,11.55
3183,07/22/16 07:57:21 em,12.9,11.55
3184,07/22/16 07:57:22 em,12.9,11.55
3185,07/22/16 07:57:23 em,12.9,11.55
3186,07/22/16 07:57:24 em,12.9,11.55
3187,07/22/16 07:57:25 em,12.9,11.55
3188,07/22/16 07:57:26 em,12.9,11.55
3189,07/22/16 07:57:27 em,12.9,11.55
3190,07/22/16 07:57:28 em,12.9,11.55
3191,07/22/16 07:57:29 em,12.9,11.55
3192,07/22/16 07:57:30 em,12.9,11.57
3193,07/22/16 07:57:31 em,12.9,11.57
3194,07/22/16 07:57:32 em,12.9,11.57
3195,07/22/16 07:57:33 em,12.9,11.57
3196,07/22/16 07:57:34 em,12.9,11.57
3197,07/22/16 07:57:35 em,12.9,11.57
3198,07/22/16 07:57:36 em,13.0,11.58
3199,07/22/16 07:57:37 em,12.9,11.58
3200,07/22/16 07:57:38 em,12.9,11.58
3201,07/22/16 07:57:39 em,12.9,11.58
3202,07/22/16 07:57:40 em,12.9,11.58
3203,07/22/16 07:57:41 em,12.9,11.58
3204,07/22/16 07:57:42 em,12.9,11.59
3205,07/22/16 07:57:43 em,13.0,11.58
3206,07/22/16 07:57:44 em,12.9,11.58
3207,07/22/16 07:57:45 em,12.9,11.59
3208,07/22/16 07:57:46 em,12.9,11.59
3209,07/22/16 07:57:47 em,13.0,11.59
3210,07/22/16 07:57:48 em,12.9,11.59
3211,07/22/16 07:57:49 em,12.9,11.59
3212,07/22/16 07:57:50 em,12.9,11.61
3213,07/22/16 07:57:51 em,12.9,11.61
3214,07/22/16 07:57:52 em,12.9,11.61
3215,07/22/16 07:57:53 em,12.9,11.61
3216,07/22/16 07:57:54 em,12.9,11.61
3217,07/22/16 07:57:55 em,12.9,11.62
3218,07/22/16 07:57:56 em,12.9,11.61
3219,07/22/16 07:57:57 em,12.9,11.62
3220,07/22/16 07:57:58 em,13.0,11.62
3221,07/22/16 07:57:59 em,12.9,11.61
3222,07/22/16 07:58:00 em,12.9,11.62
3223,07/22/16 07:58:01 em,12.9,11.62
3224,07/22/16 07:58:02 em,12.9,11.62
3225,07/22/16 07:58:03 em,12.9,11.62
3226,07/22/16 07:58:04 em,12.9,11.63
3227,07/22/16 07:58:05 em,12.9,11.62
3228,07/22/16 07:58:06 em,13.0,11.63
3229,07/22/16 07:58:07 em,13.0,11.64
3230,07/22/16 07:58:08 em,12.9,11.64
3231,07/22/16 07:58:09 em,12.9,11.63
3232,07/22/16 07:58:10 em,12.9,11.64
3233,07/22/16 07:58:11 em,13.0,11.64
3234,07/22/16 07:58:12 em,12.9,11.64
3235,07/22/16 07:58:13 em,13.0,11.64
3236,07/22/16 07:58:14 em,12.9,11.64
3237,07/22/16 07:58:15 em,12.9,11.64
3238,07/22/16 07:58:16 em,12.9,11.66
3239,07/22/16 07:58:17 em,13.0,11.66
3240,07/22/16 07:58:18 em,12.9,11.66
3241,07/22/16 07:58:19 em,13.0,11.66
3242,07/22/16 07:58:20 em,13.0,11.66
3243,07/22/16 07:58:21 em,13.0,11.66
3244,07/22/16 07:58:22 em,12.9,11.66
3245,07/22/16 07:58:23 em,12.9,11.66
3246,07/22/16 07:58:24 em,13.0,11.67
3247,07/22/16 07:58:25 em,13.0,11.67
3248,07/22/16 07:58:26 em,13.0,11.67
3249,07/22/16 07:58:27 em,13.0,11.67
3250,07/22/16 07:58:28 em,13.0,11.68
3251,07/22/16 07:58:29 em,13.0,11.68
3252,07/22/16 07:58:30 em,13.0,11.68
3253,07/22/16 07:58:31 em,13.0,11.68
3254,07/22/16 07:58:32 em,13.0,11.68
3255,07/22/16 07:58:33 em,12.9,11.70
3256,07/22/16 07:58:34 em,13.0,11.70
3257,07/22/16 07:58:35 em,13.0,11.70
3258,07/22/16 07:58:36 em,13.0,11.70
3259,07/22/16 07:58:37 em,13.0,11.70
3260,07/22/16 07:58:38 em,13.0,11.70
3261,07/22/16 07:58:39 em,13.0,11.70
3262,07/22/16 07:58:40 em,12.9,11.70
3263,07/22/16 07:58:41 em,13.0,11.71
3264,07/22/16 07:58:42 em,13.0,11.71
3265,07/22/16 07:58:43 em,13.0,11.71
3266,07/22/16 07:58:44 em,13.0,11.72
3267,07/22/16 07:58:45 em,13.0,11.71
3268,07/22/16 07:58:46 em,13.0,11.71
3269,07/22/16 07:58:47 em,13.1,11.72
3270,07/22/16 07:58:48 em,13.0,11.72
3271,07/22/16 07:58:49 em,13.0,11.72
3272,07/22/16 07:58:50 em,13.0,11.72
3273,07/22/16 07:58:51 em,13.0,11.73
3274,07/22/16 07:58:52 em,13.0,11.73
3275,07/22/16 07:58:53 em,12.9,11.73
3276,07/22/16 07:58:54 em,13.0,11.73
3277,07/22/16 07:58:55 em,13.0,11.73
3278,07/22/16 07:58:56 em,12.9,11.73
3279,07/22/16 07:58:57 em,12.9,11.75
3280,07/22/16 07:58:58 em,13.0,11.75
3281,07/22/16 07:58:59 em,13.0,11.75
3282,07/22/16 07:59:00 em,13.0,11.75
3283,07/22/16 07:59:01 em,13.0,11.76
3284,07/22/16 07:59:02 em,12.9,11.76
3285,07/22/16 07:59:03 em,13.0,11.76
3286,07/22/16 07:59:04 em,13.0,11.76
3287,07/22/16 07:59:05 em,13.0,11.76
3288,07/22/16 07:59:06 em,13.0,11.76
3289,07/22/16 07:59:07 em,12.9,11.76
3290,07/22/16 07:59:08 em,13.0,11.77
3291,07/22/16 07:59:09 em,13.0,11.79
3292,07/22/16 07:59:10 em,13.0,11.77
3293,07/22/16 07:59:11 em,13.0,11.77
3294,07/22/16 07:59:12 em,13.0,11.77
3295,07/22/16 07:59:13 em,13.0,11.77
3296,07/22/16 07:59:14 em,13.1,11.79
3297,07/22/16 07:59:15 em,13.0,11.79
3298,07/22/16 07:59:16 em,13.0,11.79
3299,07/22/16 07:59:17 em,13.0,11.79
3300,07/22/16 07:59:18 em,13.0,11.80
3301,07/22/16 07:59:19 em,13.0,11.80
3302,07/22/16 07:59:20 em,13.1,11.81
3303,07/22/16 07:59:21 em,13.0,11.80
3304,07/22/16 07:59:22 em,13.0,11.81
3305,07/22/16 07:59:23 em,13.0,11.81
3306,07/22/16 07:59:24 em,13.0,11.81
3307,07/22/16 07:59:25 em,13.0,11.81
3308,07/22/16 07:59:26 em,12.9,11.81
3309,07/22/16 07:59:27 em,13.0,11.83
3310,07/22/16 07:59:28 em,13.0,11.83
3311,07/22/16 07:59:29 em,13.1,11.83
3312,07/22/16 07:59:30 em,13.0,11.83
3313,07/22/16 07:59:31 em,13.0,11.83
3314,07/22/16 07:59:32 em,13.0,11.84
3315,07/22/16 07:59:33 em,13.0,11.84
3316,07/22/16 07:59:34 em,13.0,11.84
3317,07/22/16 07:59:35 em,13.0,11.84
3318,07/22/16 07:59:36 em,13.0,11.84
3319,07/22/16 07:59:37 em,13.0,11.85
3320,07/22/16 07:59:38 em,13.0,11.85
3321,07/22/16 07:59:39 em,13.0,11.85
3322,07/22/16 07:59:40 em,13.1,11.85
3323,07/22/16 07:59:41 em,13.0,11.85
3324,07/22/16 07:59:42 em,12.9,11.86
3325,07/22/16 07:59:43 em,13.0,11.86
3326,07/22/16 07:59:44 em,13.0,11.86
3327,07/22/16 07:59:45 em,13.1,11.86
3328,07/22/16 07:59:46 em,13.1,11.88
3329,07/22/16 07:59:47 em,13.0,11.88
3330,07/22/16 07:59:48 em,13.0,11.88
3331,07/22/16 07:59:49 em,13.0,11.89
3332,07/22/16 07:59:50 em,13.0,11.89
3333,07/22/16 07:59:51 em,13.1,11.89
3334,07/22/16 07:59:52 em,13.0,11.90
3335,07/22/16 07:59:53 em,13.0,11.90
3336,07/22/16 07:59:54 em,13.0,11.90
3337,07/22/16 07:59:55 em,13.0,11.90
3338,07/22/16 07:59:56 em,13.1,11.90
3339,07/22/16 07:59:57 em,13.1,11.90
3340,07/22/16 07:59:58 em,13.1,11.90
3341,07/22/16 07:59:59 em,13.1,11.92
3342,07/22/16 08:00:00 em,13.1,11.92
3343,07/22/16 08:00:01 em,13.1,11.92
3344,07/22/16 08:00:02 em,13.1,11.92
3345,07/22/16 08:00:03 em,13.0,11.92
3346,07/22/16 08:00:04 em,13.0,11.92
3347,07/22/16 08:00:05 em,13.1,11.93
3348,07/22/16 08:00:06 em,13.0,11.93
3349,07/22/16 08:00:07 em,13.1,11.93
3350,07/22/16 08:00:08 em,13.0,11.94
3351,07/22/16 08:00:09 em,13.0,11.94
3352,07/22/16 08:00:10 em,13.0,11.94
3353,07/22/16 08:00:11 em,13.2,11.94
3354,07/22/16 08:00:12 em,13.0,11.95
3355,07/22/16 08:00:13 em,13.1,11.94
3356,07/22/16 08:00:14 em,13.0,11.95
3357,07/22/16 08:00:15 em,13.1,11.95
3358,07/22/16 08:00:16 em,13.1,11.97
3359,07/22/16 08:00:17 em,13.2,11.97
3360,07/22/16 08:00:18 em,13.1,11.97
3361,07/22/16 08:00:19 em,13.1,11.97
3362,07/22/16 08:00:20 em,13.1,11.97
3363,07/22/16 08:00:21 em,13.0,11.97
3364,07/22/16 08:00:22 em,13.1,11.97
3365,07/22/16 08:00:23 em,13.0,11.98
3366,07/22/16 08:00:24 em,13.0,11.98
3367,07/22/16 08:00:25 em,13.1,11.98
3368,07/22/16 08:00:26 em,13.1,11.98
3369,07/22/16 08:00:27 em,13.1,11.99
3370,07/22/16 08:00:28 em,13.1,11.99
3371,07/22/16 08:00:29 em,13.1,11.99
3372,07/22/16 08:00:30 em,13.1,12.01
3373,07/22/16 08:00:31 em,13.0,12.01
3374,07/22/16 08:00:32 em,13.1,12.01
3375,07/22/16 08:00:33 em,13.2,12.02
3376,07/22/16 08:00:34 em,13.2,12.02
3377,07/22/16 08:00:35 em,13.0,12.02
3378,07/22/16 08:00:36 em,13.1,12.02
3379,07/22/16 08:00:37 em,13.1,12.02
3380,07/22/16 08:00:38 em,13.1,12.03
3381,07/22/16 08:00:39 em,13.1,12.03
3382,07/22/16 08:00:40 em,13.1,12.04
3383,07/22/16 08:00:41 em,13.1,12.04
3384,07/22/16 08:00:42 em,13.1,12.04
3385,07/22/16 08:00:43 em,13.1,12.06
3386,07/22/16 08:00:44 em,13.1,12.06
3387,07/22/16 08:00:45 em,13.0,12.06
3388,07/22/16 08:00:46 em,13.1,12.07
3389,07/22/16 08:00:47 em,13.1,12.07
3390,07/22/16 08:00:48 em,13.1,12.07
3391,07/22/16 08:00:49 em,13.1,12.07
3392,07/22/16 08:00:50 em,13.1,12.08
3393,07/22/16 08:00:51 em,13.1,12.08
3394,07/22/16 08:00:52 em,13.1,12.08
3395,07/22/16 08:00:53 em,13.1,12.08
3396,07/22/16 08:00:54 em,13.1,12.08
3397,07/22/16 08:00:55 em,13.1,12.10
3398,07/22/16 08:00:56 em,13.1,12.10
3399,07/22/16 08:00:57 em,13.0,12.10
3400,07/22/16 08:00:58 em,13.1,12.10
3401,07/22/16 08:00:59 em,13.1,12.11
3402,07/22/16 08:01:00 em,13.2,12.12
3403,07/22/16 08:01:01 em,13.1,12.12
3404,07/22/16 08:01:02 em,13.2,12.12
3405,07/22/16 08:01:03 em,13.1,12.14
3406,07/22/16 08:01:04 em,13.1,12.14
3407,07/22/16 08:01:05 em,13.1,12.14
3408,07/22/16 08:01:06 em,13.1,12.14
3409,07/22/16 08:01:07 em,13.1,12.15
3410,07/22/16 08:01:08 em,13.1,12.14
3411,07/22/16 08:01:09 em,13.2,12.15
3412,07/22/16 08:01:10 em,13.2,12.15
3413,07/22/16 08:01:11 em,13.1,12.16
3414,07/22/16 08:01:12 em,13.1,12.16
3415,07/22/16 08:01:13 em,13.2,12.16
3416,07/22/16 08:01:14 em,13.1,12.16
3417,07/22/16 08:01:15 em,13.2,12.16
3418,07/22/16 08:01:16 em,13.1,12.17
3419,07/22/16 08:01:17 em,13.2,12.17
3420,07/22/16 08:01:18 em,13.1,12.19
3421,07/22/16 08:01:19 em,13.1,12.19
3422,07/22/16 08:01:20 em,13.2,12.19
3423,07/22/16 08:01:21 em,13.2,12.20
3424,07/22/16 08:01:22 em,13.2,12.20
3425,07/22/16 08:01:23 em,13.1,12.20
3426,07/22/16 08:01:24 em,13.1,12.21
3427,07/22/16 08:01:25 em,13.1,12.21
3428,07/22/16 08:01:26 em,13.2,12.21
3429,07/22/16 08:01:27 em,13.1,12.21
3430,07/22/16 08:01:28 em,13.2,12.23
3431,07/22/16 08:01:29 em,13.2,12.23
3432,07/22/16 08:01:30 em,13.1,12.23
3433,07/22/16 08:01:31 em,13.2,12.24
3434,07/22/16 08:01:32 em,13.2,12.24
3435,07/22/16 08:01:33 em,13.2,12.25
3436,07/22/16 08:01:34 em,13.1,12.25
3437,07/22/16 08:01:35 em,13.2,12.25
3438,07/22/16 08:01:36 em,13.2,12.25
3439,07/22/16 08:01:37 em,13.2,12.25
3440,07/22/16 08:01:38 em,13.1,12.25
3441,07/22/16 08:01:39 em,13.1,12.26
3442,07/22/16 08:01:40 em,13.1,12.28
3443,07/22/16 08:01:41 em,13.2,12.28
3444,07/22/16 08:01:42 em,13.2,12.28
3445,07/22/16 08:01:43 em,13.2,12.28
3446,07/22/16 08:01:44 em,13.2,12.28
3447,07/22/16 08:01:45 em,13.1,12.28
3448,07/22/16 08:01:46 em,13.2,12.28
3449,07/22/16 08:01:47 em,13.1,12.28
3450,07/22/16 08:01:48 em,13.2,12.28
3451,07/22/16 08:01:49 em,13.2,12.28
3452,07/22/16 08:01:50 em,13.2,12.28
3453,07/22/16 08:01:51 em,13.2,12.28
3454,07/22/16 08:01:52 em,13.2,12.29
3455,07/22/16 08:01:53 em,13.2,12.30
3456,07/22/16 08:01:54 em,13.1,12.30
3457,07/22/16 08:01:55 em,13.2,12.30
3458,07/22/16 08:01:56 em,13.2,12.32
3459,07/22/16 08:01:57 em,13.2,12.32
3460,07/22/16 08:01:58 em,13.2,12.32
3461,07/22/16 08:01:59 em,13.1,12.33
3462,07/22/16 08:02:00 em,13.2,12.33
3463,07/22/16 08:02:01 em,13.2,12.34
3464,07/22/16 08:02:02 em,13.3,12.35
3465,07/22/16 08:02:03 em,13.1,12.37
3466,07/22/16 08:02:04 em,13.2,12.37
3467,07/22/16 08:02:05 em,13.2,12.38
3468,07/22/16 08:02:06 em,13.2,12.38
3469,07/22/16 08:02:07 em,13.2,12.38
3470,07/22/16 08:02:08 em,13.2,12.39
3471,07/22/16 08:02:09 em,13.2,12.39
3472,07/22/16 08:02:10 em,13.1,12.39
3473,07/22/16 08:02:11 em,13.2,12.39
3474,07/22/16 08:02:12 em,13.2,12.41
3475,07/22/16 08:02:13 em,13.2,12.41
3476,07/22/16 08:02:14 em,13.2,12.41
3477,07/22/16 08:02:15 em,13.2,12.42
3478,07/22/16 08:02:16 em,13.2,12.43
3479,07/22/16 08:02:17 em,13.2,12.45
3480,07/22/16 08:02:18 em,13.2,12.45
3481,07/22/16 08:02:19 em,13.2,12.45
3482,07/22/16 08:02:20 em,13.2,12.46
3483,07/22/16 08:02:21 em,13.2,12.47
3484,07/22/16 08:02:22 em,13.3,12.47
3485,07/22/16 08:02:23 em,13.2,12.48
3486,07/22/16 08:02:24 em,13.2,12.48
3487,07/22/16 08:02:25 em,13.3,12.48
3488,07/22/16 08:02:26 em,13.3,12.50
3489,07/22/16 08:02:27 em,13.2,12.50
3490,07/22/16 08:02:28 em,13.2,12.50
3491,07/22/16 08:02:29 em,13.2,12.51
3492,07/22/16 08:02:30 em,13.4,12.50
3493,07/22/16 08:02:31 em,13.2,12.51
3494,07/22/16 08:02:32 em,13.2,12.51
3495,07/22/16 08:02:33 em,13.2,12.51
3496,07/22/16 08:02:34 em,13.2,12.51
3497,07/22/16 08:02:35 em,13.2,12.52
3498,07/22/16 08:02:36 em,13.2,12.52
3499,07/22/16 08:02:37 em,13.2,12.54
3500,07/22/16 08:02:38 em,13.2,12.54
3501,07/22/16 08:02:39 em,13.2,12.54
3502,07/22/16 08:02:40 em,13.2,12.55
3503,07/22/16 08:02:41 em,13.2,12.55
3504,07/22/16 08:02:42 em,13.2,12.55
3505,07/22/16 08:02:43 em,13.2,12.55
3506,07/22/16 08:02:44 em,13.2,12.56
3507,07/22/16 08:02:45 em,13.2,12.56
3508,07/22/16 08:02:46 em,13.2,12.57
3509,07/22/16 08:02:47 em,13.2,12.56
3510,07/22/16 08:02:48 em,13.2,12.57
3511,07/22/16 08:02:49 em,13.2,12.59
3512,07/22/16 08:02:50 em,13.3,12.59
3513,07/22/16 08:02:51 em,13.2,12.59
3514,07/22/16 08:02:52 em,13.2,12.59
3515,07/22/16 08:02:53 em,13.3,12.60
3516,07/22/16 08:02:54 em,13.2,12.60
3517,07/22/16 08:02:55 em,13.3,12.61
3518,07/22/16 08:02:56 em,13.2,12.60
3519,07/22/16 08:02:57 em,13.3,12.61
3520,07/22/16 08:02:58 em,13.2,12.61
3521,07/22/16 08:02:59 em,13.3,12.63
3522,07/22/16 08:03:00 em,13.5,12.63
3523,07/22/16 08:03:01 em,13.2,12.63
3524,07/22/16 08:03:02 em,13.2,12.64
3525,07/22/16 08:03:03 em,13.3,12.65
3526,07/22/16 08:03:04 em,13.3,12.65
3527,07/22/16 08:03:05 em,13.2,12.65
3528,07/22/16 08:03:06 em,13.3,12.65
3529,07/22/16 08:03:07 em,13.2,12.67
3530,07/22/16 08:03:08 em,13.3,12.68
3531,07/22/16 08:03:09 em,13.2,12.68
3532,07/22/16 08:03:10 em,13.2,12.68
3533,07/22/16 08:03:11 em,13.2,12.68
3534,07/22/16 08:03:12 em,13.2,12.69
3535,07/22/16 08:03:13 em,13.3,12.69
3536,07/22/16 08:03:14 em,13.2,12.70
3537,07/22/16 08:03:15 em,13.3,12.70
3538,07/22/16 08:03:16 em,13.2,12.70
3539,07/22/16 08:03:17 em,13.3,12.70
3540,07/22/16 08:03:18 em,13.2,12.72
3541,07/22/16 08:03:19 em,13.3,12.72
3542,07/22/16 08:03:20 em,13.3,12.72
3543,07/22/16 08:03:21 em,13.3,12.73
3544,07/22/16 08:03:22 em,13.3,12.73
3545,07/22/16 08:03:23 em,13.3,12.73
3546,07/22/16 08:03:24 em,13.3,12.73
3547,07/22/16 08:03:25 em,13.3,12.74
3548,07/22/16 08:03:26 em,13.2,12.74
3549,07/22/16 08:03:27 em,13.2,12.74
3550,07/22/16 08:03:28 em,13.3,12.76
3551,07/22/16 08:03:29 em,13.3,12.76
3552,07/22/16 08:03:30 em,13.3,12.76
3553,07/22/16 08:03:31 em,13.3,12.77
3554,07/22/16 08:03:32 em,13.2,12.77
3555,07/22/16 08:03:33 em,13.2,12.77
3556,07/22/16 08:03:34 em,13.3,12.78
3557,07/22/16 08:03:35 em,13.3,12.78
3558,07/22/16 08:03:36 em,13.3,12.78
3559,07/22/16 08:03:37 em,13.2,12.79
3560,07/22/16 08:03:38 em,13.3,12.79
3561,07/22/16 08:03:39 em,13.2,12.81
3562,07/22/16 08:03:40 em,13.3,12.81
3563,07/22/16 08:03:41 em,13.3,12.81
3564,07/22/16 08:03:42 em,13.3,12.81
3565,07/22/16 08:03:43 em,13.3,12.82
3566,07/22/16 08:03:44 em,13.2,12.83
3567,07/22/16 08:03:45 em,13.3,12.83
3568,07/22/16 08:03:46 em,13.3,12.83
3569,07/22/16 08:03:47 em,13.3,12.83
3570,07/22/16 08:03:48 em,13.3,12.83
3571,07/22/16 08:03:49 em,13.3,12.85
3572,07/22/16 08:03:50 em,13.3,12.85
3573,07/22/16 08:03:51 em,13.3,12.85
3574,07/22/16 08:03:52 em,13.3,12.85
3575,07/22/16 08:03:53 em,13.3,12.86
3576,07/22/16 08:03:54 em,13.3,12.87
3577,07/22/16 08:03:55 em,13.2,12.87
3578,07/22/16 08:03:56 em,13.3,12.88
3579,07/22/16 08:03:57 em,13.3,12.88
3580,07/22/16 08:03:58 em,13.3,12.88
3581,07/22/16 08:03:59 em,13.3,12.88
3582,07/22/16 08:04:00 em,13.3,12.90
3583,07/22/16 08:04:01 em,13.3,12.90
3584,07/22/16 08:04:02 em,13.3,12.90
3585,07/22/16 08:04:03 em,13.3,12.91
3586,07/22/16 08:04:04 em,13.3,12.91
3587,07/22/16 08:04:05 em,13.2,12.91
3588,07/22/16 08:04:06 em,13.3,12.91
3589,07/22/16 08:04:07 em,13.3,12.92
3590,07/22/16 08:04:08 em,13.3,12.92
3591,07/22/16 08:04:09 em,13.3,12.92
3592,07/22/16 08:04:10 em,13.3,12.94
3593,07/22/16 08:04:11 em,13.3,12.94
3594,07/22/16 08:04:12 em,13.3,12.95
3595,07/22/16 08:04:13 em,13.3,12.95
3596,07/22/16 08:04:14 em,13.2,12.95
3597,07/22/16 08:04:15 em,13.3,12.96
3598,07/22/16 08:04:16 em,13.3,12.96
3599,07/22/16 08:04:17 em,13.3,12.96
3600,07/22/16 08:04:18 em,13.4,12.96
3601,07/22/16 08:04:19 em,13.3,12.98
3602,07/22/16 08:04:20 em,13.3,12.98
3603,07/22/16 08:04:21 em,13.3,12.99
3604,07/22/16 08:04:22 em,13.3,12.98
3605,07/22/16 08:04:23 em,13.3,12.99
3606,07/22/16 08:04:24 em,13.3,12.99
3607,07/22/16 08:04:25 em,13.3,13.00
3608,07/22/16 08:04:26 em,13.3,13.00
3609,07/22/16 08:04:27 em,13.3,13.00
3610,07/22/16 08:04:28 em,13.3,13.01
3611,07/22/16 08:04:29 em,13.3,13.01
3612,07/22/16 08:04:30 em,13.3,13.01
3613,07/22/16 08:04:31 em,13.3,13.03
3614,07/22/16 08:04:32 em,13.3,13.03
3615,07/22/16 08:04:33 em,13.3,13.03
3616,07/22/16 08:04:34 em,13.3,13.04
3617,07/22/16 08:04:35 em,13.4,13.04
3618,07/22/16 08:04:36 em,13.3,13.04
3619,07/22/16 08:04:37 em,13.3,13.04
3620,07/22/16 08:04:38 em,13.4,13.05
3621,07/22/16 08:04:39 em,13.3,13.07
3622,07/22/16 08:04:40 em,13.4,13.07
3623,07/22/16 08:04:41 em,13.3,13.07
3624,07/22/16 08:04:42 em,13.4,13.08
3625,07/22/16 08:04:43 em,13.3,13.08
3626,07/22/16 08:04:44 em,13.3,13.08
3627,07/22/16 08:04:45 em,13.4,13.08
3628,07/22/16 08:04:46 em,13.4,13.09
3629,07/22/16 08:04:47 em,13.3,13.09
3630,07/22/16 08:04:48 em,13.4,13.09
3631,07/22/16 08:04:49 em,13.3,13.10
3632,07/22/16 08:04:50 em,13.3,13.10
3633,07/22/16 08:04:51 em,13.3,13.10
3634,07/22/16 08:04:52 em,13.4,13.12
3635,07/22/16 08:04:53 em,13.4,13.12
3636,07/22/16 08:04:54 em,13.4,13.13
3637,07/22/16 08:04:55 em,13.3,13.13
3638,07/22/16 08:04:56 em,13.4,13.13
3639,07/22/16 08:04:57 em,13.3,13.13
3640,07/22/16 08:04:58 em,13.4,13.14
3641,07/22/16 08:04:59 em,13.5,13.14
3642,07/22/16 08:05:00 em,13.4,13.14
3643,07/22/16 08:05:01 em,13.4,13.16
3644,07/22/16 08:05:02 em,13.3,13.16
3645,07/22/16 08:05:03 em,13.3,13.16
3646,07/22/16 08:05:04 em,13.4,13.17
3647,07/22/16 08:05:05 em,13.3,13.17
3648,07/22/16 08:05:06 em,13.3,13.18
3649,07/22/16 08:05:07 em,13.4,13.18
3650,07/22/16 08:05:08 em,13.4,13.18
3651,07/22/16 08:05:09 em,13.4,13.20
3652,07/22/16 08:05:10 em,13.3,13.20
3653,07/22/16 08:05:11 em,13.4,13.20
3654,07/22/16 08:05:12 em,13.4,13.21
3655,07/22/16 08:05:13 em,13.4,13.21
3656,07/22/16 08:05:14 em,13.5,13.21
3657,07/22/16 08:05:15 em,13.4,13.22
3658,07/22/16 08:05:16 em,13.4,13.21
3659,07/22/16 08:05:17 em,13.4,13.22
3660,07/22/16 08:05:18 em,13.4,13.22
3661,07/22/16 08:05:19 em,13.4,13.23
3662,07/22/16 08:05:20 em,13.4,13.23
3663,07/22/16 08:05:21 em,13.5,13.23
3664,07/22/16 08:05:22 em,13.4,13.25
3665,07/22/16 08:05:23 em,13.5,13.26
3666,07/22/16 08:05:24 em,13.4,13.25
3667,07/22/16 08:05:25 em,13.5,13.26
3668,07/22/16 08:05:26 em,13.4,13.26
3669,07/22/16 08:05:27 em,13.5,13.26
3670,07/22/16 08:05:28 em,13.4,13.27
3671,07/22/16 08:05:29 em,13.5,13.27
3672,07/22/16 08:05:30 em,13.5,13.27
3673,07/22/16 08:05:31 em,13.5,13.29
3674,07/22/16 08:05:32 em,13.5,13.29
3675,07/22/16 08:05:33 em,13.4,13.29
3676,07/22/16 08:05:34 em,13.4,13.30
3677,07/22/16 08:05:35 em,13.4,13.30
3678,07/22/16 08:05:36 em,13.5,13.31
3679,07/22/16 08:05:37 em,13.4,13.31
3680,07/22/16 08:05:38 em,13.4,13.31
3681,07/22/16 08:05:39 em,13.4,13.32
3682,07/22/16 08:05:40 em,13.4,13.32
3683,07/22/16 08:05:41 em,13.4,13.31
3684,07/22/16 08:05:42 em,13.4,13.32
3685,07/22/16 08:05:43 em,13.4,13.34
3686,07/22/16 08:05:44 em,13.5,13.34
3687,07/22/16 08:05:45 em,13.4,13.34
3688,07/22/16 08:05:46 em,13.5,13.35
3689,07/22/16 08:05:47 em,13.4,13.35
3690,07/22/16 08:05:48 em,13.4,13.35
3691,07/22/16 08:05:49 em,13.4,13.36
